0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.122875564,-0.44318604,1.4821972,0.51892686,-1.8202018,0.05027073,-0.4133126,0.29101914,-0.7932099,-0.19197129,0.5086888,-1.027262,0.83589166,1.5181749,-1.3938931,3.2483048,0.73190075,-0.12872763,-0.6490266,-0.8284483,0.16665173,-0.9554983,0.34208992,-0.9060818,-0.554254,0.68981504,0.44507623,-0.12330616,-0.15974246,-1.4056729,1.2947934,-0.20713018
-0.1523506,-0.38683504,1.3588294,0.4679849,-1.8816996,0.089037016,-0.41181195,0.36501044,-0.78152865,-0.11962356,0.43670824,-1.0562681,0.851882,1.588779,-1.3475902,3.3010805,0.70331866,-0.2506184,-0.69286674,-0.7209026,0.1906801,-0.9810574,0.34724933,-0.9439355,-0.532957,0.66902477,0.40231198,-0.16072549,-0.17434765,-1.377346,1.2636632,-0.06309435
-0.15260151,-0.3866181,1.3581636,0.46785194,-1.881927,0.08909515,-0.411789,0.365438,-0.78119755,-0.11911537,0.43635398,-1.0566082,0.85200393,1.5888627,-1.3475281,3.3013093,0.70334554,-0.25123158,-0.6932832,-0.72039145,0.19092573,-0.9811489,0.3471227,-0.94412047,-0.5326947,0.66892827,0.40206382,-0.16081132,-0.17432368,-1.377157,1.2635525,-0.062470183
-0.15142086,-0.38769305,1.3615985,0.4686282,-1.8806245,0.088613585,-0.41196144,0.36334562,-0.78261495,-0.12150039,0.4383191,-1.055023,0.85134965,1.5882695,-1.3480561,3.3001742,0.70318276,-0.24829723,-0.69132006,-0.7229592,0.18980142,-0.9806608,0.3476545,-0.943271,-0.53401744,0.6695596,0.4034317,-0.16047199,-0.17458792,-1.3779042,1.2640584,-0.065602
-0.15096653,-0.38829103,1.3635279,0.46902674,-1.8798741,0.08832277,-0.4120246,0.36223632,-0.7834387,-0.12264132,0.4394029,-1.0542994,0.8509572,1.5879264,-1.3483303,3.299579,0.7031351,-0.24683115,-0.690338,-0.72434294,0.18932176,-0.98040754,0.34791237,-0.9427124,-0.5347145,0.6699661,0.4041403,-0.16029051,-0.17463666,-1.3782365,1.2641896,-0.06726838
-0.14202026,-0.41038516,1.4070799,0.48865342,-1.8579851,0.07061224,-0.41284847,0.3369639,-0.78095675,-0.14791724,0.46581885,-1.0474924,0.84672844,1.5591292,-1.3688438,3.2822597,0.7180897,-0.20030452,-0.6781852,-0.76480895,0.18382166,-0.971207,0.34305146,-0.9321063,-0.53962135,0.67674625,0.4192146,-0.14450845,-0.16672322,-1.3879145,1.2771294,-0.12146982
-0.15105161,-0.388196,1.3632334,0.46895868,-1.8799839,0.08836906,-0.41201204,0.36240494,-0.783322,-0.122449495,0.4392361,-1.0544226,0.8510082,1.5879842,-1.348281,3.2996755,0.70314837,-0.24707848,-0.69049203,-0.72412884,0.18940817,-0.9804494,0.34787193,-0.9427859,-0.5346053,0.6699108,0.40402794,-0.1603237,-0.17461818,-1.378186,1.2641509,-0.06700139
-0.15169929,-0.38760397,1.3612323,0.4685105,-1.8807423,0.08866182,-0.41192114,0.36360624,-0.7824836,-0.12110575,0.43810934,-1.0553169,0.85136783,1.5883137,-1.347959,3.300344,0.7032307,-0.24876061,-0.69160014,-0.7226494,0.19002649,-0.9807445,0.34757578,-0.9433211,-0.5338228,0.6695506,0.40327898,-0.16052473,-0.1744689,-1.3777803,1.263878,-0.06518192
-0.15091664,-0.39073297,1.3661647,0.47114372,-1.878322,0.08606051,-0.41185758,0.36084154,-0.781365,-0.12390321,0.44126105,-1.0549928,0.8510882,1.5843831,-1.3507442,3.2982864,0.70588386,-0.24280801,-0.69078183,-0.7277027,0.1897472,-0.97936845,0.34638727,-0.9420648,-0.53379786,0.6701897,0.40481064,-0.15827736,-0.1730329,-1.3791579,1.2657769,-0.072198674
-0.13442224,-0.42226493,1.4351265,0.4995167,-1.8436338,0.062740624,-0.41362944,0.32007313,-0.7848734,-0.16480462,0.48165178,-1.0404577,0.843041,1.5445633,-1.379191,3.27059,0.7227161,-0.17395754,-0.66712075,-0.78828746,0.17761974,-0.9662016,0.34293756,-0.9240581,-0.54488146,0.68211603,0.42911607,-0.13682754,-0.16458324,-1.393827,1.2836878,-0.15247443
-0.15096653,-0.38829094,1.3635278,0.4690268,-1.8798742,0.088322826,-0.41202462,0.36223644,-0.78343856,-0.122641265,0.43940288,-1.0542995,0.85095733,1.5879265,-1.3483303,3.2995794,0.7031351,-0.24683136,-0.690338,-0.72434294,0.18932182,-0.9804075,0.34791225,-0.94271237,-0.5347146,0.66996616,0.4041403,-0.16029064,-0.17463669,-1.3782368,1.2641896,-0.06726824
-0.15275007,-0.38653103,1.3578398,0.46775055,-1.8820747,0.08921024,-0.41173232,0.3656322,-0.7811725,-0.118895024,0.43612337,-1.056775,0.85206425,1.5889568,-1.3474125,3.301419,0.7033806,-0.2514983,-0.69344723,-0.7201556,0.19103934,-0.9811814,0.34706557,-0.9441007,-0.5325623,0.6688291,0.40188402,-0.1608184,-0.17422847,-1.377156,1.26348,-0.062183443
