feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115,feat_116,feat_117,feat_118,feat_119,feat_120,feat_121,feat_122,feat_123,feat_124,feat_125,feat_126,feat_127,feat_128,feat_129,feat_130,feat_131,feat_132,feat_133,feat_134,feat_135,feat_136,feat_137,feat_138,feat_139,feat_140,feat_141,feat_142,feat_143,feat_144,feat_145,feat_146,feat_147,feat_148,feat_149,feat_150,feat_151,feat_152,feat_153,feat_154,feat_155,feat_156,feat_157,feat_158,feat_159,feat_160,feat_161,feat_162,feat_163,feat_164,feat_165,feat_166,feat_167,feat_168,feat_169,feat_170,feat_171,feat_172,feat_173,feat_174,feat_175,feat_176,feat_177,feat_178,feat_179,feat_180,feat_181,feat_182,feat_183,feat_184,feat_185,feat_186,feat_187,feat_188,feat_189,feat_190,feat_191,feat_192
-0.03639787,-0.063824475,0.025953036,0.0049694898,-0.011756303,0.1188384,-0.015934832,0.010118256,0.12568386,0.022987137,-0.11590244,-0.10462227,0.027049929,0.067249626,0.07147616,-0.023462255,0.078315005,-0.22611766,0.16738546,-0.086257525,-0.062441245,0.077978075,-0.10802175,-0.08132946,0.060967643,0.10621533,0.031782508,0.08005143,-0.043416135,0.12127954,-0.10970411,-0.1075967,-0.038865656,0.12014454,0.0074866284,-0.039188635,0.103781395,-0.036813203,-0.17085333,-0.0738979,0.006463373,-0.03325922,0.11941763,-0.11871238,0.0541369,-0.03882607,-0.13737008,0.092731975,-0.013190124,0.05415186,-0.22922476,-0.0975468,0.11057444,0.05231356,-0.027234346,-0.08334117,-0.081734456,0.08056524,-0.14681132,-0.038584698,-0.11928257,0.11753825,-0.15233433,-0.060668465,0.2611256,0.02881502,0.09479687,0.14030407,0.064414464,-0.059743732,0.044929326,0.09870057,0.06902815,0.07667109,0.042684052,-0.03389611,-0.11393372,-0.08922555,-0.22035696,0.07833552,-0.047879864,-0.0785127,-0.115398176,0.10691316,0.02187986,0.1965064,-0.02992008,-0.039570734,0.17379445,-0.069848396,-0.0616284,0.29936194,0.089767344,-0.12968941,0.023180507,-0.09361659,-0.15211466,0.097465284,0.15458821,0.15814175,-0.02315738,-0.0665093,-0.033100873,0.013025387,-0.028628776,0.034562342,0.0053775273,0.05776318,0.06226939,0.1441492,0.04706025,0.09466706,-0.032562807,-0.107830994,0.0029892703,0.0512894,-0.058053024,-0.00818504,-0.06522135,-0.15865602,0.054487534,0.02120024,-0.17105645,0.21273825,0.054773718,0.032308154,0.00947747,-0.06853701,0.033126224,0.048967388,0.0628715,-0.06990257,-0.052808605,-0.061594542,-0.11980985,0.18225701,0.055029675,0.12362188,-0.06506458,0.33912426,0.03265408,-0.103609376,0.027662046,-0.11056707,0.2155043,0.24039409,-0.0541872,0.13062471,0.17564549,0.032191634,-0.07120707,0.029527977,-0.10622986,0.070213296,-0.15974766,0.16973698,0.11940786,0.003956713,0.1116859,0.034954008,-0.099644855,-0.04589756,-0.048680857,0.07077359,0.098617814,0.025562044,-0.11065209,-0.029841315,-0.025644023,0.1373343,0.06479411,-0.03606227,0.0306852,0.06506366,-0.11246657,-0.046572078,0.025115905,0.06586732,0.0053231716,0.11730833,0.1963961,0.04640757,-0.0049029943,-0.0026390362,-0.12038245,0.0977567,-0.037746668,0.04426655,0.10508793,0.047461133,0.2500118,0.0019452199
-0.016235225,0.0017509572,0.0035550473,-0.07041829,0.006016968,0.055662014,-0.04416444,-0.012339476,0.06962715,-0.007931039,-0.074270576,-0.15883449,0.0043576807,-0.009225096,0.05337028,0.016410328,0.10734536,-0.26706776,0.16425928,-0.057965063,-0.087588176,0.07945253,-0.025829133,-0.089958794,0.006414296,0.11746855,0.080447674,0.10854704,0.02717538,0.08642453,-0.0023477804,-0.09120514,-0.023199946,0.10955532,-0.047357127,-0.05134062,0.057984777,-0.09187306,-0.19582881,-0.051217243,-0.004331311,0.00817372,0.088370554,-0.109857544,0.04856935,0.024149973,-0.18618897,0.02960165,0.008537134,0.019331869,-0.19764362,-0.08035401,0.059377603,0.048344143,-0.027140036,-0.07072027,-0.032642543,0.090358734,-0.09747584,-0.029445034,-0.05306224,0.09665542,-0.11335391,-0.011850174,0.22661029,0.021480188,0.032689605,0.05937387,0.14497294,-0.061136212,0.056768656,0.17800982,0.024903173,0.111086935,0.06310862,0.027393298,-0.05203327,-0.11308131,-0.20853324,0.09236317,-0.090302765,-0.059722587,-0.107994564,0.08965594,0.04642886,0.17358452,0.0061496105,-0.066022314,0.13933592,-0.07652945,-0.090101846,0.25192463,0.11688805,-0.06566178,-0.027821925,-0.08047225,-0.1209197,0.13280055,0.20577729,0.1272327,0.044192832,-0.07481667,0.004310221,0.053401574,-0.068793595,0.013291657,0.020325758,0.03120989,0.013502336,0.11901938,-0.0005795192,0.11363806,-0.042886294,-0.07226696,-0.0012162863,0.06677731,-0.048733644,0.01480896,-0.022458307,-0.1433638,0.078036405,0.018230982,-0.08785614,0.16005836,0.04147196,0.045447618,-0.033483148,-0.03106928,0.110792875,0.06662679,0.07379966,-0.038881324,-0.029966174,-0.047459412,-0.19351149,0.22239845,-0.01892871,0.07274069,-0.0133160725,0.18570967,0.029725304,-0.0772631,-0.0068256296,-0.12820897,0.20354915,0.19318485,0.0033346326,0.117269404,0.2091484,0.09019211,-0.10488685,0.02105396,-0.019064233,-0.041825194,-0.14939745,0.18583484,0.16053668,0.04166875,0.15463857,0.048715055,-0.18607752,-0.016506383,-0.051342435,-0.018348789,0.077848785,0.04338999,-0.013061689,-0.035948876,-0.059321586,0.14115036,0.031980053,0.009120289,-0.027502414,-0.009804288,-0.016387984,-0.026606228,-0.024837805,0.036129616,0.027760774,0.09903818,0.16164367,-0.008630484,0.012392262,0.046207517,-0.110571094,0.015346534,0.015306899,-0.021803316,0.13097262,0.055814136,0.22573504,-0.060418975
0.04121365,0.08670227,0.06361749,-0.099288054,0.017085547,0.06593344,-0.020380128,0.02128927,0.0041124634,-0.0027040225,-0.11602552,-0.11855788,-0.04244776,-0.06511289,0.049900636,-0.012785632,-0.015742894,-0.08748032,0.18047968,0.06460437,-0.08482443,0.066443905,0.095266044,-0.089619145,-0.0092454925,0.05806696,0.094013974,-0.060757574,-0.025408464,0.007849196,-0.07764573,-0.027191622,0.02103538,0.0007267352,-0.059639156,0.08206558,0.021753555,-0.06179786,-0.19494812,-0.08456694,-0.063982174,-0.023246061,0.13582534,-0.05227736,0.07032529,0.052933723,-0.091464154,0.031684324,-0.033143174,-0.0016916282,-0.20782883,0.032703944,0.051799938,0.006834264,-0.0435258,-0.1485945,-0.13513094,0.007195607,-0.0181676,-0.084826425,-0.1489519,0.19037032,-0.15010643,-0.020228956,0.17995034,-0.14424866,0.15002878,0.053001925,0.03988114,-0.08821255,0.05968535,0.19514914,0.04074496,0.14908105,0.02522387,-0.1375049,0.007022267,-0.11229442,-0.05174336,0.07217894,-0.12384266,0.0019731093,-0.096572265,0.17941865,0.120725,0.060588866,-0.087803885,-0.081600085,0.052431412,-0.042530827,-0.05968839,0.2820542,0.010033464,-0.10728502,-0.057068035,-0.11188884,-0.020956902,0.08521014,0.10444327,0.16886303,0.0474653,-0.0021455367,-0.12856333,-0.007613619,-0.007062861,-0.031144148,0.0059744045,0.025842112,0.024788752,0.04245709,0.03326364,0.029238146,-0.08007944,-0.07774265,-0.08370575,0.022960208,0.059645556,0.045329064,-0.0026608557,-0.11370541,0.056726895,0.023760013,-0.02184991,0.1427735,-0.04998398,0.101861,-0.05660179,-0.18249255,0.067034096,-0.09240696,0.108368404,0.017181309,-0.105391085,-0.0954384,-0.19257253,0.035626143,-0.00031027757,0.060108237,0.044472937,0.19103028,-0.03468724,-0.06777955,0.0772123,-0.1356808,0.09854304,0.14256841,-0.043092713,0.2555094,0.22745037,-0.0079607535,0.03888221,0.04109349,-0.033415917,-0.070842415,-0.044153966,0.13953714,0.063072816,-0.07636899,0.27437097,0.03436769,0.0049772197,-0.029294902,-0.018456262,0.106611095,0.17316423,-0.061391417,-0.018777998,-0.034204777,0.07466261,0.12998223,0.063723624,0.00031886622,-0.18484415,0.039042134,-0.025126372,0.05439981,-0.0005151653,0.021604743,-0.0025621355,0.08970623,0.086921126,0.015291456,0.07743383,-0.015072316,-0.06792549,0.14246327,-0.026310472,-0.0023607183,0.08291706,0.022706844,0.2717529,0.0062010884
0.09764436,0.10446918,0.0022766767,-0.048098043,-0.0024265442,0.0133477645,-0.00472424,0.05035017,0.039773036,-0.0056524463,-0.065071866,-0.15085788,-0.065647416,-0.015554714,0.030670108,-0.015313948,0.06641245,-0.14810503,0.14519167,0.020473542,-0.1048772,0.082051724,-0.015248638,-0.07559749,-0.05541269,0.06256789,0.14980552,0.0028287703,0.09290852,0.045179173,0.0049116705,-0.025858974,0.07154508,0.10653079,-0.036076024,-0.0023989938,-0.01639191,-0.06143851,-0.15798135,-0.104241446,-0.034766167,-0.098849334,0.12814072,-0.032609493,0.07987722,0.06774313,-0.145444,-0.04853714,-0.0046778843,0.05428637,-0.21864793,-0.011804,0.03345325,0.10473613,-0.0747205,-0.11736733,-0.056545913,0.01883474,0.010938868,-0.062974915,-0.075186,0.086946934,-0.1443575,-0.07423694,0.15275602,-0.0130391475,0.071849324,-0.019587765,0.17321566,-0.022053108,0.11542104,0.19373856,0.052145474,0.10992892,0.04506738,-0.0021763202,-0.06676621,-0.123009,-0.14356305,0.13283804,-0.07244629,-0.06731385,-0.09239598,0.068415016,-0.013934754,0.11533736,0.019962234,0.004373653,-0.0013080128,-0.014484892,-0.07366615,0.20217341,0.0893522,-0.06668191,-0.05883997,-0.029869467,-0.044907898,0.11884434,0.17571066,0.08517411,0.014266142,-0.06360256,0.015810687,0.019370878,-0.15466654,-0.0022045244,-0.018322878,0.034441337,0.102744475,0.09243526,0.008577945,0.036079776,-0.059831336,-0.05966647,-0.015505483,0.014870823,-0.003477363,-0.016738392,-0.0011795498,-0.071086675,0.069443725,0.083047606,-0.122254446,0.112294,0.0010244418,0.09386955,-0.10505965,0.03414201,0.032863043,0.015350794,0.01957326,0.008132065,-0.08708144,-0.07067547,-0.17406307,0.15834418,-0.0034484342,0.0641287,0.046847623,0.1508925,-0.045173448,-0.0011798171,0.017872062,-0.14933416,0.11828402,0.10159634,0.01693165,0.18479376,0.18402618,0.082518995,-0.115348555,0.009368435,0.048684552,-0.07035578,-0.1176992,0.109855846,0.1450187,0.058062397,0.17385246,0.036724508,-0.18984358,0.039223395,-0.0042007957,0.023623493,0.06072259,0.084333986,0.003376836,-0.055077847,0.028979223,0.1504631,0.0121578025,-0.1036557,-0.00023336848,-0.026055587,-0.06169587,-0.024225723,-0.06904747,-0.05230588,0.022553973,0.015223398,0.10112198,0.03840403,0.029954417,0.059277304,-0.09356888,-0.017482221,-0.010462025,-0.0050392933,0.076276496,0.057782754,0.16914017,-0.056504954
0.009141479,-0.011228766,-0.032024972,0.011709777,-0.02671208,0.098195314,0.04127217,0.02150032,0.05182029,-0.0055893175,-0.0751244,-0.11463643,0.02989801,-0.028823521,0.13331564,-0.03383211,0.017967053,-0.22366557,0.114040904,-0.06263927,-0.072007164,0.0820896,-0.064717755,-0.08643109,-0.009622794,0.09180948,0.071013115,0.035004485,0.08043976,0.146635,-0.044615395,-0.10182181,-0.013516107,0.12998977,-0.004580958,0.017242763,0.05135256,-0.058525976,-0.19868517,-0.07189346,0.03392469,-0.06868621,0.13333315,-0.09401299,0.07152512,-0.03776274,-0.12175665,0.017551765,0.024569023,0.041305605,-0.20922866,-0.0005944334,0.024456277,0.048177436,-0.0350281,-0.083298415,-0.004348278,0.051330395,-0.15176444,0.04485318,-0.08176056,0.11670436,-0.15673685,-0.07891474,0.25094965,0.008889981,0.13839334,0.13473585,0.13830768,-0.13046224,0.12538418,0.10243736,-0.024221128,0.06459872,0.03649914,0.005133478,-0.13398483,-0.0593758,-0.25211716,0.054509863,-0.1368754,-0.12302716,-0.027366202,0.082330495,0.08623781,0.18185425,-0.02866284,-0.1244638,0.13641866,-0.1064168,-0.02406743,0.3105368,0.026460925,-0.15886801,-0.019010331,-0.03554073,-0.1521612,0.08190475,0.17811148,0.15034437,-0.04021827,-0.071455695,0.02335912,0.008294097,-0.05975585,0.075067416,0.011056557,0.06336034,0.09386898,0.13110432,0.01931403,0.08087103,-0.029510505,-0.12709033,-0.005436621,0.0036077807,-0.050850004,-0.0070513487,-0.012533616,-0.055365056,0.036838137,-0.016129225,-0.100021005,0.12861285,0.08746585,0.12213273,-0.09861487,-0.030505816,0.004117689,-0.003917206,0.08262223,-0.0130569395,-0.020144789,-0.094804235,-0.17351495,0.13332099,0.018569503,0.040504582,-0.027136758,0.21312864,0.016298652,-0.098193236,-0.05539905,-0.18819079,0.15403147,0.17494875,-0.088603996,0.18272842,0.17915258,0.06911076,-0.12890118,-0.0016218815,-0.107097894,0.045155123,-0.1726884,0.15815939,0.070985526,-0.012772171,0.12160757,0.043623485,-0.15092601,-0.0033052657,-0.046590485,0.048399374,0.08070282,-0.009630362,-0.006941328,-0.056605387,-0.06407234,0.10926308,0.0329488,-0.056173757,0.019470882,0.08200851,-0.1382716,-0.06462283,-0.012803655,0.110721365,0.05838301,0.10173003,0.118631735,-0.05437335,-0.011205321,0.100601375,-0.080094494,0.07006768,-0.040048093,0.028014604,0.062066354,0.055511188,0.26821265,-0.056436416
0.04251321,0.028315071,-0.03414667,0.03491956,-0.096410245,0.11181733,0.10624755,0.043062333,0.019678142,-0.033397637,-0.06519583,-0.1478342,-0.0067745056,0.04170144,0.0501398,-0.10265454,0.042094,-0.11182897,0.050171018,0.035908096,-0.0076053347,0.10083702,0.00801244,-0.040692654,-0.03943153,0.034452755,0.12673318,-0.0090946285,0.07745248,0.08786361,-0.061236426,-0.06693046,0.01019509,0.15337281,-0.025109852,0.060551025,0.075146124,-0.027378019,-0.1669992,-0.09236697,-0.010594862,-0.058908354,0.104310654,-0.08434485,0.011481994,-0.03814304,-0.10613801,-0.028540106,0.056127958,0.071927235,-0.22979286,0.044469394,0.05365613,0.11770023,0.0035987608,-0.112546,-0.016781513,-0.026198262,-0.131249,0.013464704,-0.07395011,0.16741885,-0.17475203,-0.10995478,0.19387782,-0.015572367,0.13788302,0.14386156,0.073150195,-0.119349666,0.062167063,0.04460577,-0.013110494,0.049800325,0.006231103,-0.08816346,-0.14612548,-0.0023927158,-0.1838915,0.0017637406,-0.10359849,-0.09838902,-0.050458487,0.12066072,0.061909355,0.10251832,-0.045529656,-0.049493305,0.05296004,-0.091879144,-0.07594161,0.21019347,-0.029979708,-0.16643442,0.014508649,-0.042214878,-0.071331054,-0.0007611364,0.15941797,0.10640062,0.025736827,0.0013077329,-0.060943976,-0.053003464,0.010693802,0.13785377,0.02837767,0.080575116,0.050964385,0.12522002,-0.05218546,0.01077378,0.011937566,-0.13738024,0.031068383,-0.09366255,-0.062816195,0.00028654188,-0.00516822,-0.010628924,0.05348151,-0.0406584,-0.065311775,0.1363045,0.057681665,0.1824801,-0.05163918,-0.008518936,-0.08591858,0.008168599,0.0970773,0.05424413,0.004035007,-0.057100046,-0.16328926,0.06950598,-0.04146487,0.04854653,-0.015012082,0.20717901,-0.008201111,-0.05534945,-0.056324605,-0.084249385,0.10312447,0.11462819,-0.10054688,0.18930171,0.08435514,-0.006588936,-0.026522405,-0.062035263,-0.116951734,0.054875568,-0.07992215,0.113380946,0.0005829986,0.05032924,0.12049781,0.038685057,-0.1215478,-0.0455876,-0.022470592,0.09435224,0.072906144,-0.039762206,0.09250106,-0.04231923,0.05478408,0.11410287,0.05263047,-0.09792557,0.00248123,0.07672654,-0.1963419,-0.06602379,-0.051551417,0.086563185,0.040066116,0.034397572,0.036123153,-0.08950217,0.010354767,0.075116396,-0.11663454,0.045335777,-0.06847406,0.030312572,-0.0035492915,-0.0012611607,0.19580804,-0.085275546
0.063328624,0.102127686,-0.03812978,-0.070905946,0.0017588567,0.06427923,0.027993413,0.03770196,0.037055418,0.04296039,-0.03264723,-0.14795908,-0.0070419647,0.05286766,-0.031787187,-0.071861,0.11217019,-0.1250207,0.17621675,-0.0040015113,-0.037381373,0.0819706,-0.017420556,-0.04127306,-0.047946263,-0.03310949,0.07770341,-0.04991783,0.087955244,0.041724935,-0.07420308,-0.13853757,0.014376937,0.22023441,-0.021201903,-0.010417771,0.02180008,-0.05581925,-0.12412647,-0.026825419,0.01601042,-0.052966293,0.14072701,-0.12891673,0.10351664,-0.08724366,-0.076230556,-0.0056614294,0.0067955106,0.06321987,-0.10406834,-0.06801892,0.058466397,0.08323014,0.04745601,-0.18210563,-0.021608263,-0.03280866,-0.06686662,-0.04232086,-0.052561525,0.046120707,-0.10513179,-0.048851434,0.1852026,0.01152603,-0.008181573,0.11006513,0.002953591,-0.06583236,0.049383793,0.029266926,-0.07204753,0.07987468,0.0052161664,-0.03295091,-0.028714553,-0.12808885,-0.119225204,0.115218416,-0.07565646,-0.13463862,-0.10843643,0.05102381,0.026092732,0.15755305,-0.013162231,-0.060492896,0.050548058,-0.058076628,-0.058906622,0.21757431,0.031717844,-0.15590712,-0.0025049215,0.005710802,-0.10040757,0.12807694,0.12113525,0.15181974,-0.0033458348,-0.012808302,0.00021559792,0.03235476,-0.08373939,0.0780618,-0.042264964,-0.03325671,0.008371468,0.051777832,0.006732568,0.05234764,-0.08012355,-0.02841578,-0.02677955,0.044774033,-0.065837465,-0.067896254,0.052376006,-0.095833346,0.053548574,0.03427596,-0.08766468,0.19388063,-0.00365418,0.12965377,-0.13426134,-0.022833789,0.07823633,0.015032979,0.09833244,0.023985518,-0.035458647,0.007158152,-0.17955081,0.10589505,0.056838747,0.057245396,0.03404689,0.1590733,0.020717055,-0.02563794,-0.04179311,-0.17263925,0.14907591,0.099754505,-0.030835224,0.11017448,0.11290021,0.023197457,-0.09311157,0.053656116,-0.07735699,-0.042041,-0.054068193,0.09502805,0.08250594,0.030357134,0.15370505,0.01310979,-0.22421975,0.07001801,-0.04295342,-0.050308608,0.028887995,0.00020417571,-0.01849006,0.0015621185,0.08461032,0.13439283,0.038327377,-0.04224649,0.0297183,0.06465193,-0.09229441,-0.03656049,-0.036607858,-0.0554264,0.036338948,0.07577809,0.0674212,0.032399427,0.0059220474,0.050898243,-0.12968694,-0.0067539765,0.06243687,0.036886435,0.06689526,0.03709566,0.22756077,-0.05750525
0.0141865015,0.013068214,-0.07100747,0.013591741,-0.07414215,0.12463929,0.04043398,0.024456907,0.03397475,0.014584113,-0.10764326,-0.13260087,0.007411696,0.038378593,0.033842728,-0.04986082,0.08000687,-0.16428135,0.08767193,0.045692332,-0.062210858,0.04568434,-0.03324965,-0.051424295,-0.0529986,0.050030816,0.10832567,-0.014075036,0.1245334,0.10927573,-0.035774022,-0.10568212,0.0031387648,0.15582587,-0.0069305096,0.0003038831,0.06407016,-0.07815832,-0.14099243,-0.04624095,0.016048001,-0.070865825,0.12215956,-0.035583988,0.050613616,-0.022534253,-0.10585882,0.0061476775,0.024081886,0.037261523,-0.20359491,0.028454032,-0.0074264873,0.0744474,0.017548004,-0.11907464,-0.048420787,-0.022805354,-0.1554545,-0.005081104,-0.053258695,0.13785946,-0.18717805,-0.060233425,0.24053177,-0.0005513206,0.100824535,0.1530103,0.086773105,-0.09662622,0.10534232,0.07354255,-0.029514717,0.094899446,0.05380485,-0.06920116,-0.12900145,-0.060894333,-0.21886021,0.10932841,-0.15518872,-0.07915763,-0.09337398,0.115177624,0.07286618,0.10624008,-0.06540262,-0.117534965,0.039669864,-0.086546615,-0.03078469,0.25750586,0.008247392,-0.10274388,-0.04599867,-0.05329521,-0.139245,0.07002815,0.18080454,0.12174546,-0.011181061,-0.018452086,0.083223775,-0.025941452,-0.057029713,0.08850881,0.0062701106,0.07739851,0.094494484,0.100497186,0.010207271,-0.017827153,-0.038231853,-0.11945477,0.04091174,0.016145378,-0.036759205,0.016036153,0.010645267,-0.020285627,0.06286888,-0.0046396228,-0.042980015,0.1249859,0.04040041,0.14521258,-0.09630871,0.047598213,-0.08626291,-0.006025117,0.06901081,0.036101103,0.0024062246,-0.08132071,-0.20904772,0.092839606,0.00969813,0.038055375,0.031070989,0.2126072,0.019608714,-0.016732115,-0.10224481,-0.18161279,0.14248687,0.105015054,-0.053975794,0.18354753,0.1357073,0.046654195,-0.08807919,0.027967684,-0.08231756,0.026505934,-0.08223604,0.16081442,0.071088344,0.019845791,0.16108905,0.042766377,-0.1840743,-0.0067885835,-0.044468068,0.050035655,0.073582225,-0.03829106,0.02520533,-0.045375265,-0.024636831,0.12875694,0.037491802,-0.080401,-0.012196114,0.06533868,-0.20374757,-0.031874023,-0.0014231657,0.061583012,0.06472498,0.06775487,0.0636199,-0.0713512,-0.043646973,0.06813311,-0.11709727,0.06956032,-0.07781236,-0.031709272,0.054438256,0.080405354,0.2158642,-0.09200483
-0.014188703,-0.01273999,-0.077142045,0.0790211,-0.102433555,0.11885567,0.072999865,0.06687167,-0.06640747,-0.051569503,-0.05844318,-0.15220858,0.02426128,0.038814913,0.12546645,-0.08858255,0.039275102,-0.13831623,0.09530444,0.01212194,-0.021777106,0.08931552,-0.026424285,-0.03680949,-0.022533014,-0.0025878213,0.114951484,0.0072530005,0.10291003,0.12729463,-0.088401824,-0.10757005,-0.09346209,0.13807698,-0.022674145,0.08910087,0.08231224,-0.0034601353,-0.15680467,-0.038239963,0.042907692,-0.11004281,0.12788597,-0.11165103,-0.0055263536,-0.08998806,-0.06259263,-0.017365674,0.075398706,0.03382068,-0.21095651,0.043559708,0.043539204,0.11695375,-0.046396077,-0.1187332,-0.056312695,0.011382284,-0.14860435,0.026545592,-0.095814094,0.14194565,-0.17081255,-0.16528049,0.2389667,0.032637276,0.14383787,0.22855912,0.007346267,-0.14480092,0.09576198,0.023494605,-0.0030757617,0.060582533,-0.055313315,-0.10341344,-0.22471868,0.03776165,-0.24543203,-0.026929205,-0.13604438,-0.15321498,0.0028162743,0.062164307,0.106784485,0.115282536,-0.06448697,-0.12526417,0.116254404,-0.15492105,0.028544648,0.28019527,-0.042868875,-0.15953034,-0.013848527,-0.013385368,-0.14121196,0.01561527,0.15204777,0.15888116,-0.066259176,-0.0025486914,0.036144298,-0.045068327,0.013673646,0.13378677,0.035881523,0.09868285,0.06428489,0.12233846,0.032737285,-0.0093709435,0.0187889,-0.1253304,0.044938684,-0.06389801,-0.044109866,0.03755846,-0.011383638,0.015686005,0.05687108,-0.097998075,-0.10248263,0.09307678,0.08340346,0.20879847,-0.10710044,-0.063464314,-0.11315979,0.011448232,0.09462515,0.037685074,-0.0011090264,-0.11329027,-0.17860109,0.07107461,-0.045860294,0.04747708,0.0013180263,0.17189756,-0.01842634,-0.03154431,-0.152792,-0.18959624,0.15943164,0.11208495,-0.12151903,0.23043676,0.10924291,-0.0006059371,-0.05648484,-0.02848872,-0.12943861,0.06668623,-0.0640755,0.08328527,-0.061624434,-0.034379795,0.07263227,0.014552543,-0.15572983,-0.031393044,-0.01791684,0.0951505,0.080908544,-0.086849615,0.03544438,-0.0816353,-0.027556509,0.07004599,0.006392735,-0.054927528,0.049064286,0.15296237,-0.26501614,-0.07065423,-0.025613524,0.10263969,0.056213785,0.09587484,0.012021322,-0.1336259,-0.01841432,0.11361286,-0.11448217,0.111728236,-0.038919598,0.0761287,0.031160569,0.003457022,0.24637513,-0.03269334
-0.018171605,0.0444468,-0.053209376,0.014365305,-0.08902883,0.112096995,0.091865726,0.067702845,0.017448992,0.047833208,-0.070622995,-0.15582204,0.031069867,0.041940235,0.08247499,-0.039006382,0.03988445,-0.07863936,0.090961434,-0.009539356,-0.02584613,0.045495566,-0.050612267,-0.019781739,-0.07264149,-0.0026605688,0.11052147,-0.0010936437,0.06257319,0.057440557,-0.09544788,-0.1174497,-0.027705595,0.17595354,-0.016957419,0.05286154,0.01471599,-0.021713074,-0.14663674,-0.045262665,0.013900166,-0.0756966,0.08031633,-0.14396814,0.024667893,-0.12935475,-0.038101964,0.03252068,0.04374247,0.030288558,-0.20698614,-0.012016935,0.06592448,0.103826396,-0.0135707855,-0.15465805,-0.070758075,0.003910929,-0.18931966,0.0016094856,-0.12703025,0.12076067,-0.1263576,-0.12550022,0.2008525,0.03376109,0.13907312,0.1824708,0.021208191,-0.13600786,0.02652206,0.052022014,0.018539554,0.107254356,0.04034351,-0.10540485,-0.14027956,-0.04601676,-0.1913716,0.020445066,-0.12194291,-0.13824455,-0.06407288,0.0665672,0.08088117,0.09259279,-0.03755419,-0.10419355,0.08092579,-0.1255591,-0.013413178,0.26115194,-0.035015494,-0.16335551,-0.013731732,-0.063666135,-0.115945555,0.06174057,0.112333536,0.15529688,-0.017828712,-0.0455948,0.008573569,-0.0390524,-0.015441528,0.04756681,0.032743502,0.110582896,0.040806994,0.093144566,0.07378506,-0.035361115,0.013889164,-0.15440398,0.011215936,-0.022366144,-0.026026132,0.026493922,-0.020954672,-0.036844797,0.077552356,-0.069062546,-0.08108913,0.1506482,0.06707991,0.1794614,-0.09446742,-0.028175363,-0.046615575,7.855892e-05,0.08653565,0.02591719,-0.00886054,-0.122919045,-0.1979257,0.09465127,0.012587193,0.075535856,-0.016440252,0.26597893,0.035083827,-0.06956596,-0.09800409,-0.1878512,0.16195576,0.1390734,-0.108725555,0.23097093,0.1017074,-0.021403225,-0.035300396,0.038140103,-0.12833503,0.055483766,-0.04789167,0.10549988,-0.00551093,-0.04716128,0.08889979,0.019604117,-0.13276733,-0.016842823,-0.049954165,0.09108725,0.05885241,-0.07203662,-0.008821668,-0.039670207,0.05022181,0.10568656,0.05613769,-0.07040488,-0.011476349,0.07878653,-0.19670731,-0.098723024,0.013839075,0.060030073,0.006042637,0.09292753,0.09047769,0.0033307374,-0.0028322397,0.059161555,-0.106068335,0.12117872,-0.03480482,0.05919872,0.047505222,0.04636679,0.23762496,-0.04514663
