0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
-0.058796898,-1.4117179,2.0239966,0.53175783,-0.4622331,-0.75762767,0.18537994,0.046950553,0.984976,-0.16556595,0.1845504,0.1754279,1.0368818,-0.67587924,-2.522528,0.76992023,0.052833032,0.44697416,-1.172854,-1.3898845,-0.10850898,-0.3626293,-1.1842762,-1.0172429,-1.3999761,-0.32072023,0.23043524,-0.5466349,-0.96654564,0.38212848,1.3586912,-1.0433161,0.67563736,-1.4967047,0.09262898,-1.5456916,-0.76053953,-0.06723118,-0.32706314,1.0179967,-0.18987414,0.6665842,-0.59214085,0.33184546,-1.4061247,-1.5957637,0.09346458,-0.2473122,0.016616266,0.25298756,-0.65603346,0.9091251,0.45922452,-0.30224442,1.2497565,-0.16657273,-0.38979435,0.06277694,-1.2165698,-1.1684983,-1.7532241,0.023797367,1.6903865,-0.035322845,-1.2745429,-1.1857703,1.6658404,0.82567334,-1.2843945,0.55034506,-1.0310609,0.49590132,0.4173117,-0.6565445,-0.6401228,-0.9456927,0.92534393,-0.4010148,0.21499403,-0.649744,-0.64278525,0.26336354,1.5353775,-0.8422792,0.65273565,-0.013843369,-1.1992164,-0.7118782,1.8189862,-0.9185716,1.0070468,-0.93884856,0.44651565,0.76318216,-1.0385952,0.7672177,-0.005426025,1.5333027,-0.49308753,-0.8379014,0.91386986,-0.6955535,-1.1018016,-0.33046877,1.4776244,0.115938835,0.5716089,1.4153624,1.627502,-0.21747066,0.889886,0.7079264,-1.1562583,-1.8028471,-0.05567644,-0.6776292,0.17421909,0.23456101,0.039384495,0.5242403,-0.14762603,1.2047753,1.2106739,2.2202916,0.11306663,-0.5999512,-0.41017494,0.59520125,-1.3152528,-0.4685847,-0.26312745,1.170074,-0.30039394,-1.0019398,-0.794189,-0.55360866,0.789435,0.11189063,0.343494,0.79177594,0.8616582,-0.78257287,1.754071,-0.8362318,-0.8971213,-0.6377064,1.6513609,1.2024261,-0.32476503,0.7807888,1.697354,1.6345059,-1.2948723,0.77054024,-0.4792971,0.28435394,-0.049487956,0.76466537,0.29387775,0.9216223,-1.2870128,-1.643075,0.5704296,0.88024807,-0.027078742,0.40250623,0.19065624,-1.0020142,-0.83542156,1.8100611,-0.85922915,1.9227816,-0.9459248,-1.6659071,-0.76847863,0.23454122,1.6910455,-0.20738064,2.2770948,0.25802892,0.48195857,-1.0191643,1.3322184,-0.65063167,0.9825669,-0.6013441,0.2930346,-0.83056307,-1.1926603,1.3469679,1.734958,-0.18053836
0.2201685,-1.7674911,1.7326959,0.43927592,-1.0772842,-0.8795548,-0.22841336,-0.29517856,1.07634,-0.3494725,0.35255262,-0.38118336,0.960518,-0.50072336,-2.33699,1.1346128,0.57941055,0.6635769,-1.479923,-1.7236608,0.21331348,-0.6485681,-0.81896514,-1.1286833,-1.2113385,-0.45731193,-0.08455045,-0.54835284,-0.7296604,-0.48111445,1.4382073,-1.3500942,0.65657705,-1.5410159,0.0077193337,-1.43593,-0.2840762,0.11742359,-0.2192134,0.66943324,-0.1888153,0.9955028,-0.6885729,-0.15334381,-1.2686731,-1.406796,0.37671286,-0.65413254,-0.19499826,0.6562747,-0.61325246,1.1105593,0.34146884,-0.71495306,1.5078772,-0.9208805,-0.39329386,0.11437593,-0.5165834,-0.9622505,-1.8392193,0.155735,1.7700201,-0.11191342,-0.8578776,-0.90359837,1.4010015,0.4599441,-1.2296747,0.60638064,-1.2794033,1.2986699,0.5332409,-0.037869804,-0.9862924,-1.2762794,0.5779715,-0.2537763,0.47963578,-0.6143717,-0.48840284,0.35639104,1.2819817,-0.4890115,0.9165875,0.30947995,-1.5760734,-0.55279124,1.7191044,-1.1820676,0.9615656,-0.7900729,0.6138766,1.0442268,-0.89525956,0.5014421,-0.25869995,1.5377363,-0.43004906,-0.99089295,0.67225623,-0.6063601,-1.0363139,-0.08394613,1.2321569,0.39225152,1.1205885,1.5394237,1.7158848,-0.48459643,0.9442038,0.93707675,-1.3505036,-1.5085506,0.58678436,-0.6803039,0.26542562,0.35170278,-0.5106828,0.46218067,-0.2630457,1.3387302,0.72875476,2.4331315,-0.06457704,-0.11280566,-0.38867432,0.4190862,-1.6842335,-0.7337488,-0.13520306,1.484184,-0.08640392,-1.331382,-0.85618865,-0.40910643,0.2617099,-0.3084174,0.27875155,1.0314226,1.1288648,-0.21902087,1.7885001,-0.7630687,-0.80096054,-0.7814837,1.4386368,1.229404,-0.59133625,0.93893874,1.9715261,2.079928,-1.5547155,1.0517044,-0.51903415,-0.03832934,-0.14225048,1.3212571,0.6237585,1.4559996,-1.1218914,-1.645418,0.6696874,0.89936686,-0.4427045,0.1531475,-0.10602847,-0.8664042,-0.5749664,1.8711748,-0.8790501,2.0058622,-0.893706,-1.7308868,-0.74276334,0.27947623,1.5473092,-0.085997716,2.0220532,-0.015122687,0.43487358,-1.2156687,1.5530404,-0.9407191,1.503304,-0.3782798,0.0036465086,-0.8326957,-1.6340011,1.0677073,1.3828828,-0.6769128
-0.116099745,-1.4679024,2.0028696,0.51372427,-0.54996336,-0.792812,0.15574497,0.017181022,0.9276508,-0.2163553,0.1297097,0.08737473,1.1040772,-0.64904755,-2.5145102,0.7716254,0.10394058,0.4823168,-1.1991652,-1.3820586,-0.04316228,-0.3117275,-1.1300521,-0.9547361,-1.3818606,-0.4129613,0.19536945,-0.5720466,-0.9134464,0.35831213,1.3817041,-1.0485103,0.7243318,-1.5035391,0.055285715,-1.5871595,-0.7312927,-0.08102237,-0.34517738,0.9877375,-0.23758546,0.69512963,-0.5319129,0.26882052,-1.4043014,-1.6364465,0.100979045,-0.20091805,0.03988834,0.29321554,-0.61130095,0.91061926,0.4997931,-0.29440656,1.2106243,-0.17518239,-0.33210596,0.0057489197,-1.1892697,-1.0963082,-1.7169223,0.018851604,1.7041843,-0.060856815,-1.3016589,-1.0624638,1.6905568,0.8369639,-1.2468632,0.62906176,-1.0609343,0.54739493,0.38815227,-0.58053255,-0.6386663,-0.99188644,0.9081354,-0.4747316,0.20696634,-0.6358905,-0.6212167,0.25405532,1.5163524,-0.8401344,0.65773505,0.019700136,-1.2324504,-0.7516519,1.7401086,-0.951929,1.0472144,-0.9384109,0.49439606,0.7001908,-1.0573478,0.79220945,-0.022493385,1.4430864,-0.50744325,-0.83733547,0.9009401,-0.65508366,-1.0850931,-0.351895,1.3984497,0.098720245,0.47829065,1.4015164,1.631025,-0.27491412,0.8410143,0.7227149,-1.1602721,-1.7789485,-0.029514808,-0.64505523,0.12873809,0.1835168,0.011793039,0.523612,-0.1211561,1.2044625,1.2075499,2.225354,0.136697,-0.57197917,-0.42976105,0.6870994,-1.3672267,-0.50538146,-0.29388487,1.2036401,-0.3399409,-1.0752639,-0.7890955,-0.5442399,0.7424114,0.16737264,0.25018826,0.8136769,0.9314772,-0.7278411,1.790452,-0.8584126,-0.97885454,-0.5389106,1.6434438,1.1686125,-0.3880866,0.8270356,1.701975,1.668931,-1.224165,0.8196295,-0.4518058,0.29625434,-0.043133162,0.8451507,0.3311036,0.9996729,-1.3767254,-1.7397659,0.59907424,0.8301851,0.017033435,0.37983996,0.22756961,-1.0355489,-0.75716585,1.8126144,-0.8534505,1.8983587,-0.9181376,-1.6353636,-0.7820977,0.22975448,1.6356071,-0.10914427,2.2575774,0.29534447,0.4261168,-0.98749965,1.3220206,-0.6270956,1.0039716,-0.5418124,0.32117802,-0.8302163,-1.1629626,1.4124392,1.6780908,-0.21532127
-0.08139119,-1.4574211,1.9789488,0.51487875,-0.58620894,-0.80833626,0.163827,0.0139996465,0.9468009,-0.21585515,0.14239708,0.08592017,1.1180761,-0.6655508,-2.5119498,0.78875464,0.102480166,0.4795355,-1.1803632,-1.3879036,-0.046647593,-0.3622788,-1.1279881,-0.936908,-1.3947216,-0.40117332,0.22761168,-0.5631386,-0.92692006,0.40244687,1.3286257,-1.0606387,0.7140878,-1.5172304,0.047089856,-1.5843334,-0.72128856,-0.087779686,-0.33196005,0.98561114,-0.2222225,0.6929505,-0.53212726,0.2705953,-1.4075896,-1.6477187,0.13217413,-0.20066456,0.07316683,0.29711032,-0.626146,0.9276031,0.50487655,-0.29096928,1.2229075,-0.13509807,-0.34325528,0.020024924,-1.2286124,-1.0660567,-1.7263229,0.009402808,1.7367779,-0.0686151,-1.307821,-1.0674368,1.6656443,0.81594217,-1.2895977,0.6401911,-1.0476402,0.53723747,0.3538809,-0.56751996,-0.6384682,-0.96294373,0.9324189,-0.47554097,0.20034249,-0.6206207,-0.61404735,0.20880438,1.4931536,-0.85778767,0.7213867,0.031966772,-1.1934389,-0.77306986,1.7121316,-0.9558418,1.0674603,-0.92125547,0.46697342,0.68381155,-1.0348278,0.76741993,-0.027768763,1.4403363,-0.5199007,-0.8363516,0.92443925,-0.63964045,-1.1121318,-0.30619863,1.410856,0.08904762,0.4644572,1.3557848,1.6364527,-0.2597517,0.8579198,0.7390883,-1.174091,-1.8186781,-0.02312099,-0.63306326,0.1873871,0.1661899,0.022718217,0.53202033,-0.11134583,1.2423311,1.2307938,2.2080235,0.13135809,-0.60265225,-0.42032745,0.6615375,-1.3572822,-0.5420575,-0.30667937,1.2175548,-0.3417708,-1.0557907,-0.7764028,-0.56901836,0.7565892,0.15365782,0.28962106,0.8308687,0.940166,-0.74646056,1.7498754,-0.867274,-0.9847917,-0.53526926,1.6540055,1.1624464,-0.35231107,0.8261756,1.7254015,1.6468165,-1.2287374,0.82139814,-0.44013226,0.29806826,-0.05638887,0.8292357,0.30939224,0.96818936,-1.3732011,-1.7521968,0.6238338,0.8231288,0.036918715,0.40404665,0.22497243,-1.0328526,-0.7664582,1.807812,-0.852425,1.9163401,-0.9382379,-1.6143388,-0.75226766,0.25957593,1.623958,-0.12212987,2.2317162,0.2688945,0.38189244,-0.9784152,1.3417096,-0.634257,1.0210282,-0.5492805,0.30149603,-0.80472505,-1.1851103,1.3506451,1.6617566,-0.2048354
0.16126503,-1.8922657,1.6685653,0.39614818,-1.4443976,-1.1369578,-0.0437101,-0.5074146,0.9559659,-0.49084237,0.36555558,-0.46626416,1.008975,-0.50363404,-2.0764441,1.2551521,0.73538244,0.8040408,-1.4839404,-1.7747227,0.3047922,-0.7311976,-0.7338822,-0.92986435,-1.2868756,-0.582715,-0.08702804,-0.49571484,-0.717931,-0.32089603,1.159409,-1.4432496,0.629754,-1.5588617,-0.17464766,-1.531501,-0.116797194,0.046669744,-0.12225127,0.5219587,-0.118741944,0.95464724,-0.38258463,-0.3006721,-1.2304231,-1.5682819,0.5659242,-0.7047039,-0.054780267,0.7360105,-0.56329626,1.0918087,0.5607326,-0.7228589,1.306768,-0.6415805,-0.390525,-0.03178364,-0.52298236,-0.5696886,-1.8574355,0.1925663,1.8901205,-0.1806508,-0.9267378,-0.6454752,1.4499351,0.5033503,-1.424826,0.66823804,-1.4632275,1.3000213,0.30765224,0.238821,-0.92719865,-1.221466,0.6305229,-0.20086809,0.311402,-0.51405704,-0.39955282,0.23875643,1.2079598,-0.5516494,1.338579,0.29596564,-1.5037104,-0.7119006,1.354856,-1.2283394,1.2010742,-0.7559729,0.4115734,1.0177411,-0.7991557,0.5065399,-0.45284513,1.5310957,-0.5094404,-0.97699916,0.883802,-0.47944486,-1.1639538,0.029243702,1.0124654,0.42276976,1.0157242,1.2447474,1.7132524,-0.55783564,0.7597774,1.0384642,-1.5190032,-1.6495637,0.65778667,-0.48600352,0.35488304,0.1884311,-0.44362321,0.5445663,-0.095674716,1.6736596,0.8070102,2.4117277,-0.028298777,-0.030810235,-0.41122755,0.47762036,-1.6606057,-0.87894094,-0.2535321,1.6703128,-0.03713823,-1.2839605,-0.77689624,-0.67258847,0.09190168,-0.4285789,0.42333692,1.0872469,1.1794605,-0.21499017,1.6870048,-0.81017923,-0.9366852,-0.6942513,1.3835409,1.218586,-0.7359579,1.0053908,1.9983604,2.1407785,-1.3301992,1.2832329,-0.48075184,-0.0152434055,-0.29974383,1.1853588,0.61028147,1.7225153,-1.2335994,-1.806101,0.6283927,0.78943884,-0.29985344,0.27628773,-0.24634346,-0.7480427,-0.3964304,1.8127403,-0.8570254,1.8924191,-0.7675191,-1.6079333,-0.6578381,0.4422872,1.3217286,0.11870384,1.7649428,-0.11385872,0.11324432,-1.2693431,1.7246542,-0.91700554,1.5086974,-0.40966052,-0.052763842,-0.6685822,-1.6583774,0.90178925,1.2767897,-0.5272913
0.3405574,-1.2458017,1.2898002,0.6874113,-0.4010082,-1.0672352,0.097981595,0.07162765,1.44458,0.23216397,0.7579217,0.022575457,0.76480037,-0.2664702,-2.3971372,0.970692,0.18742716,0.79659563,-1.3268746,-1.411666,0.53346235,-0.45892003,-0.99458134,-1.3643001,-1.0882876,-0.29096287,-0.3199559,-0.23272033,-1.0388446,-0.6029613,1.7867886,-1.0397414,0.9715785,-1.805561,-0.21225427,-1.3377085,-0.53937167,0.74823695,-0.062972195,0.7638533,-0.13779052,0.7459205,-0.9127821,-0.29267043,-1.3723263,-0.86941355,0.24624635,-0.44988668,-0.9129942,0.4493672,-0.7603526,0.65558004,-0.1675119,-0.83242315,1.2290447,-1.742553,-0.06626567,0.05006066,-0.76622677,-1.472905,-1.9148327,-0.36946255,1.7875175,0.13140719,-0.8183942,-1.4250681,1.4245502,0.62808216,-1.4468025,0.12212236,-1.2970722,0.69930583,1.161856,-0.4204637,-1.0031388,-0.94282526,0.8290963,-0.3615442,0.30959985,-1.0013573,-0.3785196,0.24868734,1.0691583,-0.5706916,0.035810772,-0.18086492,-1.2271249,-0.6668603,1.8751346,-0.94248724,0.6375119,-0.8427488,0.5833924,0.90193164,-0.73807347,1.1241405,0.23885287,1.8802376,-0.4093522,-1.0161607,0.45048508,0.017751927,-0.77970666,-0.054862436,1.5359962,0.06840722,1.1797533,2.0586958,1.3206971,-0.6122165,0.71800894,0.64602727,-1.3922944,-0.6259365,0.43150336,-0.685459,-0.3979555,1.0699168,-0.46457946,0.5585292,-0.19085369,0.7745066,0.70458156,2.1287951,-0.20710105,0.40866035,-0.63623255,0.5203498,-1.0074623,-0.34053472,0.19628079,1.2679908,0.16780525,-1.3727901,-0.72042274,-0.52069294,0.115713164,-0.01924098,0.4245898,1.2765946,1.1615982,-0.80897766,1.6837254,-0.3656699,-0.4594789,-1.0213757,1.5318338,1.6440036,-0.10015227,0.89180493,1.690861,2.0901256,-1.6949725,0.26634896,-0.7120532,0.114139535,0.20813939,1.1171288,1.0051779,0.7561854,-0.6096648,-1.5254575,0.5420567,1.3731092,-0.8004185,-0.24282467,-0.7679695,-0.6134752,-0.87647545,1.6616662,-0.68285275,2.016056,-0.8566663,-2.148586,-0.59244233,-0.15470445,2.051103,-0.3216177,2.335866,-0.12814167,1.1943334,-0.9735267,1.341821,-0.8753426,1.3272715,-0.9244739,-0.28208822,-0.85058606,-1.2429163,0.34107873,1.9848592,-1.008404
-0.077577375,-1.403748,1.9754263,0.49721915,-0.5341483,-0.7955473,0.20420057,0.04407073,0.97928536,-0.17415406,0.17031151,0.1629689,1.0960647,-0.68740046,-2.5316403,0.79071873,0.054547194,0.44230705,-1.1430408,-1.3855509,-0.07545662,-0.3688382,-1.1548022,-0.9365692,-1.4161917,-0.37059242,0.26088575,-0.5516447,-0.961436,0.5039762,1.2767172,-1.0503769,0.671863,-1.4914584,0.05460047,-1.5448556,-0.76470786,-0.12065605,-0.3172843,1.0171804,-0.19671182,0.6726261,-0.5591421,0.32095996,-1.4055614,-1.6889848,0.13772362,-0.202476,0.08419428,0.26546037,-0.63935053,0.9303099,0.4999679,-0.27201453,1.223901,-0.048253383,-0.35189554,0.039119586,-1.311776,-1.0833559,-1.7354056,-0.009060932,1.7383548,-0.06434471,-1.3161595,-1.1107407,1.6715158,0.8284961,-1.3306618,0.60665375,-1.0146056,0.46857777,0.35089338,-0.64219177,-0.62761205,-0.9025863,0.9692676,-0.46937093,0.19033574,-0.60554147,-0.6154816,0.18865605,1.5248717,-0.8830511,0.72070414,0.019721076,-1.1503321,-0.7816853,1.7283127,-0.90733063,1.0833734,-0.9266888,0.41841796,0.69864523,-1.0279777,0.76804143,-0.018921908,1.4606531,-0.5227194,-0.8329109,0.95903224,-0.64470196,-1.1389471,-0.29481912,1.4338117,0.09151518,0.45561203,1.3294959,1.6253036,-0.20031826,0.8630803,0.7434034,-1.1936734,-1.8715153,-0.041947994,-0.640565,0.21872729,0.18662857,0.078548856,0.5591013,-0.10356293,1.2571996,1.2766993,2.1859267,0.13983014,-0.64614946,-0.40209267,0.63141674,-1.3193436,-0.55700994,-0.32978603,1.1829332,-0.34010306,-1.0058044,-0.7632039,-0.6004909,0.79549515,0.15897337,0.3212928,0.8138144,0.90978014,-0.82066804,1.7132756,-0.87604284,-0.96461594,-0.565409,1.6724014,1.1883612,-0.29907233,0.79897475,1.6809732,1.5751119,-1.2287623,0.7716241,-0.45559597,0.3259622,-0.027399734,0.7620677,0.27654475,0.8919301,-1.3669786,-1.7234381,0.6294637,0.81785464,0.029056128,0.44953293,0.2189312,-1.0367846,-0.8080492,1.8080974,-0.84505755,1.9350376,-0.96301657,-1.6208047,-0.7444669,0.26746738,1.6294293,-0.18495448,2.261652,0.27232623,0.37034884,-0.96551526,1.3377355,-0.63152635,0.9833906,-0.58711886,0.28849867,-0.790695,-1.1753458,1.3188827,1.711396,-0.12812269
-0.084635206,-1.4608185,1.9754474,0.5267468,-0.5797441,-0.7877681,0.14371607,-0.008122849,0.9341523,-0.21525608,0.15909372,0.08845775,1.1154792,-0.6762958,-2.5163693,0.8122356,0.114016816,0.47838637,-1.2010084,-1.394247,-0.04454551,-0.35379973,-1.1337371,-0.95407045,-1.3932505,-0.38457716,0.21710208,-0.55576706,-0.922096,0.3639774,1.3423585,-1.0610598,0.698919,-1.4990548,0.05927874,-1.5743818,-0.729477,-0.08860794,-0.33423567,0.98513293,-0.21232465,0.7200069,-0.5525494,0.2652425,-1.4012392,-1.6353254,0.12765399,-0.2140077,0.056723066,0.31175902,-0.6238156,0.9202558,0.50391036,-0.300064,1.234484,-0.16205654,-0.343581,0.044675075,-1.2004951,-1.0799658,-1.7141025,0.012797495,1.7138993,-0.078537166,-1.2933851,-1.0718037,1.667829,0.8204493,-1.2744638,0.634998,-1.0686841,0.55300623,0.391716,-0.5744015,-0.65509933,-0.9914222,0.90879273,-0.46911037,0.20641138,-0.617347,-0.6234932,0.23056443,1.5055213,-0.8427065,0.697136,0.036509294,-1.2270815,-0.7466895,1.7197739,-0.9547835,1.0576961,-0.91479045,0.47737876,0.7044447,-1.0379274,0.7736522,-0.030423138,1.4658084,-0.5105152,-0.8406961,0.91464794,-0.64451635,-1.1133947,-0.32523575,1.4253404,0.10444282,0.48568773,1.3756053,1.6326474,-0.27826393,0.86338735,0.74293363,-1.1875129,-1.7937415,-0.0024172727,-0.6439441,0.18357489,0.1742692,0.00053629786,0.53252304,-0.11664693,1.2474849,1.2139152,2.2188694,0.12353384,-0.5864321,-0.41524288,0.65731907,-1.3723922,-0.527988,-0.29564446,1.2176672,-0.32012975,-1.0649827,-0.79777646,-0.5747751,0.75240034,0.149505,0.2784564,0.8201697,0.9280883,-0.7150142,1.749021,-0.875186,-0.98370063,-0.55583894,1.6493884,1.1732254,-0.3838355,0.8260734,1.7138627,1.657803,-1.256191,0.8134869,-0.44740576,0.28524038,-0.044629186,0.8504672,0.3085362,0.97558725,-1.3660626,-1.7334248,0.6187123,0.8392978,0.014244053,0.39352202,0.21885282,-1.0317392,-0.76017475,1.8193481,-0.8391471,1.907752,-0.94027555,-1.6446893,-0.7647891,0.26529905,1.6340339,-0.13384168,2.227139,0.27534133,0.39770782,-0.98795253,1.3384652,-0.64237964,1.0418677,-0.54762375,0.28523952,-0.8073982,-1.1936929,1.3486784,1.6757208,-0.1926752
0.11110238,-1.8532873,1.7409185,0.41516075,-1.3429986,-1.1331342,-0.0025313054,-0.43987256,0.9365971,-0.46479237,0.32582915,-0.3881973,1.06825,-0.5436987,-2.1550398,1.2121137,0.6549735,0.7599253,-1.4376385,-1.7404767,0.27414042,-0.62813956,-0.7911188,-0.909984,-1.3136225,-0.5695762,-0.048405066,-0.49891213,-0.7346847,-0.19956158,1.1699295,-1.4119377,0.664009,-1.567346,-0.15427706,-1.5705054,-0.22320665,-0.0014662211,-0.16649626,0.5830459,-0.11639929,0.9157868,-0.4019738,-0.23298572,-1.2776423,-1.6296046,0.5052633,-0.5991946,0.0025669264,0.6702584,-0.5543275,1.0506872,0.5507836,-0.6532646,1.2815126,-0.5150018,-0.3744993,-0.039438877,-0.64024776,-0.60355663,-1.8427448,0.18606225,1.8798589,-0.18037842,-0.98845375,-0.6622912,1.5227302,0.5911891,-1.4088112,0.6824212,-1.4032011,1.1580167,0.31086823,0.11935857,-0.89509344,-1.1795744,0.6565239,-0.2561804,0.27757993,-0.5207386,-0.4178826,0.22056499,1.2669089,-0.57718265,1.2429197,0.25882715,-1.4705614,-0.7423966,1.4046203,-1.2077789,1.2267177,-0.78019303,0.4247856,0.9571342,-0.8774271,0.5802791,-0.41699585,1.5012345,-0.53528166,-0.94524586,0.92514634,-0.5009105,-1.1802738,-0.04039585,1.0444454,0.37442145,0.8910737,1.2651643,1.7162417,-0.53051454,0.7832015,1.0115038,-1.4618391,-1.683244,0.5331114,-0.5102931,0.3230665,0.15978248,-0.35226515,0.53824306,-0.069895916,1.6428689,0.886263,2.3861816,0.004755743,-0.121099636,-0.41282877,0.5576376,-1.6239748,-0.8724673,-0.29226834,1.6191554,-0.082287,-1.2719849,-0.76696205,-0.6807839,0.18781266,-0.33043334,0.41493312,1.068841,1.1776173,-0.28236967,1.7255325,-0.8785486,-0.99064213,-0.6511384,1.443802,1.2201335,-0.7083334,0.9780212,1.9686539,2.0951753,-1.2928231,1.2321796,-0.45536387,0.048843943,-0.24960747,1.13865,0.592716,1.6569592,-1.3103936,-1.8511097,0.6293074,0.7864132,-0.25144392,0.2880432,-0.18238361,-0.7985686,-0.42304617,1.8146427,-0.8816099,1.8887718,-0.79718125,-1.6238303,-0.69771755,0.40696687,1.3479598,0.11271256,1.8521905,-0.044477507,0.09522398,-1.2391586,1.6883845,-0.866809,1.4508579,-0.42814946,0.02263708,-0.6937921,-1.595457,0.9693488,1.3647959,-0.47569755
0.21856111,-1.7696176,1.7218207,0.4409813,-1.0992837,-0.8972879,-0.22245519,-0.303935,1.074514,-0.35389343,0.3537916,-0.4001009,0.9704828,-0.5010752,-2.3332107,1.1440666,0.5804005,0.6702596,-1.4743644,-1.7247878,0.21165793,-0.6558501,-0.81297195,-1.1176447,-1.211146,-0.4633921,-0.07715565,-0.5471266,-0.73010427,-0.47672856,1.4240245,-1.3527865,0.65842515,-1.5417638,0.00034815175,-1.4445066,-0.277983,0.11667826,-0.21714547,0.6694409,-0.19104604,0.9958461,-0.6779011,-0.15914379,-1.2745737,-1.4230118,0.3843113,-0.6569295,-0.18497185,0.670413,-0.6138612,1.1154414,0.35058886,-0.72520524,1.5044892,-0.9057173,-0.38931867,0.1112029,-0.52069706,-0.94052213,-1.8421562,0.1564882,1.7777421,-0.11758613,-0.86216265,-0.88348377,1.3913039,0.4558927,-1.2366432,0.6183507,-1.2925919,1.2997167,0.51342285,-0.01920893,-0.98679113,-1.2705195,0.5832633,-0.26051432,0.47682446,-0.6071375,-0.48329982,0.35387596,1.2805252,-0.4946628,0.94403887,0.31700727,-1.5670209,-0.5627324,1.705702,-1.1895509,0.975872,-0.7822117,0.6156225,1.0347912,-0.8935327,0.4921809,-0.26725915,1.5234476,-0.4441191,-0.99523693,0.6778726,-0.59861547,-1.0379568,-0.07249032,1.2240467,0.3908058,1.1104728,1.51994,1.7177365,-0.47940245,0.939013,0.94497246,-1.3580499,-1.5173697,0.5922034,-0.6707995,0.2774491,0.34047505,-0.51407605,0.4628177,-0.25590405,1.3561758,0.7414492,2.433005,-0.059704594,-0.11246746,-0.38750908,0.4199951,-1.6740923,-0.74073935,-0.13372484,1.4926367,-0.09492675,-1.3346708,-0.8574505,-0.42094144,0.25550106,-0.31317386,0.27868932,1.0320318,1.1323384,-0.22122309,1.7762458,-0.7739327,-0.8113431,-0.77199554,1.4352854,1.2217798,-0.59157896,0.94257987,1.9820638,2.0851502,-1.5397825,1.0628481,-0.5160378,-0.035039246,-0.14960226,1.3297164,0.61701965,1.4657376,-1.1305723,-1.6591767,0.68112826,0.896466,-0.43407166,0.16192457,-0.10405264,-0.8645655,-0.57079697,1.8646643,-0.877051,2.0015059,-0.8908907,-1.7255628,-0.7414263,0.2840898,1.5366857,-0.08294714,2.007304,-0.015454039,0.41638806,-1.2111418,1.5599436,-0.93518746,1.5072969,-0.37635773,0.0073319618,-0.8199551,-1.6377741,1.0607089,1.3777316,-0.67584157
